Nom,Image,Lien,"Peut être obtenu sur"
"Emblème du malin II",https://static.ankama.com/wakfu/portal/game/item/42/64629418.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29437-embleme-malin-ii,Oui
"Emblème du vil IV",https://static.ankama.com/wakfu/portal/game/item/42/64629419.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29443-embleme-vil-iv,Oui
"Emblème de l'impur II",https://static.ankama.com/wakfu/portal/game/item/42/64629420.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29445-embleme-impur-ii,Oui
"Emblème de l'impur IV",https://static.ankama.com/wakfu/portal/game/item/42/64629420.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29447-embleme-impur-iv,Oui
Dofushu,https://static.ankama.com/wakfu/portal/game/item/42/64629456.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29456-dofushu,Oui
"Emblème du malin III",https://static.ankama.com/wakfu/portal/game/item/42/64629418.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29438-embleme-malin-iii,Oui
"Emblème du malin IV",https://static.ankama.com/wakfu/portal/game/item/42/64629418.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29439-embleme-malin-iv,Oui
"Emblème du vil II",https://static.ankama.com/wakfu/portal/game/item/42/64629419.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29441-embleme-vil-ii,Oui
"Emblème de l'impur V",https://static.ankama.com/wakfu/portal/game/item/42/64629420.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29448-embleme-impur-v,Oui
"Emblème du malin I",https://static.ankama.com/wakfu/portal/game/item/42/64629418.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29418-embleme-malin-i,Oui
"Emblème du vil I",https://static.ankama.com/wakfu/portal/game/item/42/64629419.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29419-embleme-vil-i,Oui
"Emblème du vil III",https://static.ankama.com/wakfu/portal/game/item/42/64629419.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29442-embleme-vil-iii,Oui
"Emblème du vil V",https://static.ankama.com/wakfu/portal/game/item/42/64629419.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29444-embleme-vil-v,Oui
"Emblème de l'impur III",https://static.ankama.com/wakfu/portal/game/item/42/64629420.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29446-embleme-impur-iii,Oui
"Emblème de l'impur I",https://static.ankama.com/wakfu/portal/game/item/42/64629420.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29420-embleme-impur-i,Oui
"Emblème du malin V",https://static.ankama.com/wakfu/portal/game/item/42/64629418.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/29440-embleme-malin-v,Oui
"Emblème de bronze",https://static.ankama.com/wakfu/portal/game/item/42/64624312.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/28092-embleme-bronze,Oui
"Emblème d'ivoire",https://static.ankama.com/wakfu/portal/game/item/42/64624312.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/28091-embleme-ivoire,Oui
"Emblème d'acier",https://static.ankama.com/wakfu/portal/game/item/42/64624312.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/28093-embleme-acier,Oui
"Emblème de mythril",https://static.ankama.com/wakfu/portal/game/item/42/64624312.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/28094-embleme-mythril,Oui
"Dofus Turquoise",https://static.ankama.com/wakfu/portal/game/item/42/53128392.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/28417-dofus-turquoise,Oui
"Dofus Prismatique",https://static.ankama.com/wakfu/portal/game/item/42/51320720.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/20720-dofus-prismatique,Oui
"Emblème du Mont Zinit IV",https://static.ankama.com/wakfu/portal/game/item/42/64627923.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/27926-embleme-mont-zinit-iv,Oui
"Fragment de Dofus Ivoire",https://static.ankama.com/wakfu/portal/game/item/42/64623996.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/23996-fragment-dofus-ivoire,Oui
"Emblème Terrestre",https://static.ankama.com/wakfu/portal/game/item/42/64624312.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/24722-embleme-terrestre,Oui
"Emblème des Nécromanciens",https://static.ankama.com/wakfu/portal/game/item/42/64624312.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/24723-embleme-necromanciens,Oui
"Emblème du Mont Zinit II",https://static.ankama.com/wakfu/portal/game/item/42/64627923.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/27924-embleme-mont-zinit-ii,Oui
"Emblème du Mont Zinit III",https://static.ankama.com/wakfu/portal/game/item/42/64627923.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/27925-embleme-mont-zinit-iii,Oui
"Fragment de Dofus Émeraude",https://static.ankama.com/wakfu/portal/game/item/42/64623995.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/23995-fragment-dofus-emeraude,Oui
"Fragment de Dofus Ocre",https://static.ankama.com/wakfu/portal/game/item/42/64623997.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/23997-fragment-dofus-ocre,Oui
"Fragment de Dofus Turquoise",https://static.ankama.com/wakfu/portal/game/item/42/64623998.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/23998-fragment-dofus-turquoise,Oui
"Fragment de Dofus Pourpre",https://static.ankama.com/wakfu/portal/game/item/42/64623999.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/23999-fragment-dofus-pourpre,Oui
"Emblème du Mont Zinit I",https://static.ankama.com/wakfu/portal/game/item/42/64627923.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/27923-embleme-mont-zinit-i,Oui
"Fragment de Dofus Ébène",https://static.ankama.com/wakfu/portal/game/item/42/64623994.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/23994-fragment-dofus-ebene,Oui
"Foul de Précision",https://static.ankama.com/wakfu/portal/game/item/42/64620281.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/20281-foul-precision,Oui
"Foul de Mêlée",https://static.ankama.com/wakfu/portal/game/item/42/64620281.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/20363-foul-melee,Oui
"Foul de Distance",https://static.ankama.com/wakfu/portal/game/item/42/64620281.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/20364-foul-distance,Oui
"Foul de Fourberie",https://static.ankama.com/wakfu/portal/game/item/42/64620281.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/accessoires/20369-foul-fourberie,Oui
