Nom,Image,Lien,"Peut être obtenu sur"
"Lame insondable",https://static.ankama.com/wakfu/portal/game/item/42/22329477.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29478-lame-insondable,Oui
"Vylus Shushu",https://static.ankama.com/wakfu/portal/game/item/42/11129479.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29479-vylus-shushu,Oui
L'Aviolarc,https://static.ankama.com/wakfu/portal/game/item/42/11729481.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29481-aviolarc,Oui
L'Aviolarc,https://static.ankama.com/wakfu/portal/game/item/42/11729481.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29482-aviolarc,Oui
"Sceptre du dernier repos",https://static.ankama.com/wakfu/portal/game/item/42/25329485.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29486-sceptre-dernier-repos,Oui
"Dague Marabouteuse",https://static.ankama.com/wakfu/portal/game/item/42/11229491.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29492-dague-marabouteuse,Oui
"Sceptre séculaire",https://static.ankama.com/wakfu/portal/game/item/42/11329630.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29630-sceptre-seculaire,Oui
"Marteau séculaire",https://static.ankama.com/wakfu/portal/game/item/42/11429632.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29633-marteau-seculaire,Oui
"Dague séculaire",https://static.ankama.com/wakfu/portal/game/item/42/11229645.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29646-dague-seculaire,Oui
"Dague Ora",https://static.ankama.com/wakfu/portal/game/item/42/11230148.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/30149-dague-ora,Non
"Épée de Valdain",https://static.ankama.com/wakfu/portal/game/item/42/11030703.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/30703-epee-valdain,Non
"Tatsus Shushu",https://static.ankama.com/wakfu/portal/game/item/42/11029473.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29474-tatsus-shushu,Oui
L'Augaromasse,https://static.ankama.com/wakfu/portal/game/item/42/11329483.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armes/29483-augaromasse,Oui
