Nom,Image,Lien,"Peut être obtenu sur"
"Coiffe Primitive",https://static.ankama.com/wakfu/portal/game/item/42/13431835.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31837-coiffe-primitive,Oui
"Plastron Fou",https://static.ankama.com/wakfu/portal/game/item/42/13631844.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31846-plastron-fou,Oui
Fulgurobottes,https://static.ankama.com/wakfu/portal/game/item/42/11931863.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31864-fulgurobottes,Oui
Epaulectriques,https://static.ankama.com/wakfu/portal/game/item/42/13831869.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31870-epaulectriques,Oui
Protoplumage,https://static.ankama.com/wakfu/portal/game/item/42/13231871.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31872-protoplumage,Oui
"Cape figée",https://static.ankama.com/wakfu/portal/game/item/42/13231890.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31892-cape-figee,Oui
"Pendentif d'Imagori",https://static.ankama.com/wakfu/portal/game/item/42/12031900.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31902-pendentif-imagori,Non
"Les Hâlées",https://static.ankama.com/wakfu/portal/game/item/42/11931903.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31904-halees,Oui
"Anneau creux de Wakfu",https://static.ankama.com/wakfu/portal/game/item/42/10331907.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31908-anneau-creux-wakfu,Oui
"Epaulettes crépusculaires",https://static.ankama.com/wakfu/portal/game/item/42/13831933.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31934-epaulettes-crepusculaires,Oui
"Collier à esprit",https://static.ankama.com/wakfu/portal/game/item/42/12031940.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31941-collier-esprit,Non
Bottantoques,https://static.ankama.com/wakfu/portal/game/item/42/11931961.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31963-bottantoques,Oui
Plastronled,https://static.ankama.com/wakfu/portal/game/item/42/13631964.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31966-plastronled,Oui
"Les rouages du temps",https://static.ankama.com/wakfu/portal/game/item/42/13831973.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/armures/31974-rouages-temps,Oui
