Nom,Image,Lien,"Peut être obtenu sur"
"Chacha Tigré",https://static.ankama.com/wakfu/portal/game/item/42/58212131.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/12131-chacha-tigre,Non
Dot,https://static.ankama.com/wakfu/portal/game/item/42/58212237.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/12237-dot,Non
Arakne,https://static.ankama.com/wakfu/portal/game/item/42/58214152.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/14152-arakne,Non
Tourtobot,https://static.ankama.com/wakfu/portal/game/item/42/58214157.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/14157-tourtobot,Non
Scarafon,https://static.ankama.com/wakfu/portal/game/item/42/58216719.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/16719-scarafon,Oui
Fotome,https://static.ankama.com/wakfu/portal/game/item/42/58216736.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/16736-fotome,Non
Croum,https://static.ankama.com/wakfu/portal/game/item/42/58217026.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/17026-croum,Non
"Chacha d'Or",https://static.ankama.com/wakfu/portal/game/item/42/58218736.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/18736-chacha,Non
"Petit Citrouillé",https://static.ankama.com/wakfu/portal/game/item/42/58220548.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/20548-petit-citrouille,Non
"Tofu Bontarien",https://static.ankama.com/wakfu/portal/game/item/42/58223889.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23889-tofu-bontarien,Non
"Boune Ventru",https://static.ankama.com/wakfu/portal/game/item/42/58223899.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23899-boune-ventru,Non
"Boune Brâkmarien",https://static.ankama.com/wakfu/portal/game/item/42/58223903.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23903-boune-brakmarien,Non
"Godron Charmant",https://static.ankama.com/wakfu/portal/game/item/42/58224259.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/24259-godron-charmant,Non
"Gélutin Combattant",https://static.ankama.com/wakfu/portal/game/item/42/58226673.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/26673-gelutin-combattant,Non
"Gélutin Soigneur",https://static.ankama.com/wakfu/portal/game/item/42/58226674.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/26674-gelutin-soigneur,Non
"Gélutin Chasseur",https://static.ankama.com/wakfu/portal/game/item/42/58226675.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/26675-gelutin-chasseur,Non
"Gélutin Berserker",https://static.ankama.com/wakfu/portal/game/item/42/58226676.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/26676-gelutin-berserker,Non
Boufrogounet,https://static.ankama.com/wakfu/portal/game/item/42/58227207.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/27207-boufrogounet,Non
Geist,https://static.ankama.com/wakfu/portal/game/item/42/58227311.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/27311-geist,Non
Rafal,https://static.ankama.com/wakfu/portal/game/item/42/58227974.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/27974-rafal,Non
Bourrasque,https://static.ankama.com/wakfu/portal/game/item/42/58228368.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/28368-bourrasque,Non
Chachagora,https://static.ankama.com/wakfu/portal/game/item/42/58212127.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/12127-chachagora,Non
Tofu,https://static.ankama.com/wakfu/portal/game/item/42/58212129.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/12129-tofu,Non
Moomouche,https://static.ankama.com/wakfu/portal/game/item/42/58215100.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/15100-moomouche,Non
"Chacha des Glaces",https://static.ankama.com/wakfu/portal/game/item/42/58215818.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/15818-chacha-glaces,Non
Yech'ti’Wawa,https://static.ankama.com/wakfu/portal/game/item/42/58215820.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/15820-yech-ti-wawa,Oui
"Marcassinet d'Or",https://static.ankama.com/wakfu/portal/game/item/42/58216854.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/16854-marcassinet,Non
"Abomination Apprivoisée",https://static.ankama.com/wakfu/portal/game/item/42/58218049.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/18049-abomination-apprivoisee,Non
"Chienchien d'Or",https://static.ankama.com/wakfu/portal/game/item/42/58218737.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/18737-chienchien,Non
Chauffe-Souris,https://static.ankama.com/wakfu/portal/game/item/42/58219577.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/19577-chauffe-souris,Non
Dauge,https://static.ankama.com/wakfu/portal/game/item/42/58222034.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/22034-dauge,Non
Noxine,https://static.ankama.com/wakfu/portal/game/item/42/58223881.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23881-noxine,Non
"Tofu Mesuré",https://static.ankama.com/wakfu/portal/game/item/42/58223886.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23886-tofu-mesure,Non
"Tofu Charmant",https://static.ankama.com/wakfu/portal/game/item/42/58223890.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23890-tofu-charmant,Non
"Tofu Brâkmarien",https://static.ankama.com/wakfu/portal/game/item/42/58223891.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/familiers/23891-tofu-brakmarien,Non
