Nom,Image,Lien,"Peut être obtenu sur"
"Ecaille primitive",https://static.ankama.com/wakfu/portal/game/item/42/53131760.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31760-ecaille-primitive,Oui
"Fossile féroce",https://static.ankama.com/wakfu/portal/game/item/42/53131761.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31761-fossile-feroce,Oui
"Peau primaire",https://static.ankama.com/wakfu/portal/game/item/42/53131766.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31766-peau-primaire,Oui
"Queue de Primassif",https://static.ankama.com/wakfu/portal/game/item/42/53131767.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31767-queue-primassif,Oui
"Statuette Primitive",https://static.ankama.com/wakfu/portal/game/item/42/53131785.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31785-statuette-primitive,Oui
"Ruban de Zulnara",https://static.ankama.com/wakfu/portal/game/item/42/53131786.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31786-ruban-zulnara,Oui
Imagoribs,https://static.ankama.com/wakfu/portal/game/item/42/53131768.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31768-imagoribs,Oui
"Tic Intact",https://static.ankama.com/wakfu/portal/game/item/42/53131779.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31779-tic-intact,Oui
Clepsydre,https://static.ankama.com/wakfu/portal/game/item/42/53131780.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31780-clepsydre,Oui
"Fil de marionnettiste",https://static.ankama.com/wakfu/portal/game/item/42/53132342.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/32342-fil-marionnettiste,Oui
"Eclat de pierre d'aile",https://static.ankama.com/wakfu/portal/game/item/42/53131762.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31762-eclat-pierre-aile,Oui
"Squame céleste",https://static.ankama.com/wakfu/portal/game/item/42/53131772.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31772-squame-celeste,Oui
"Crâne crocodaille",https://static.ankama.com/wakfu/portal/game/item/42/53131774.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31774-crane-crocodaille,Oui
"Éclat de Golem",https://static.ankama.com/wakfu/portal/game/item/42/53132400.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/32400-eclat-golem,Oui
"Défense vespérale",https://static.ankama.com/wakfu/portal/game/item/42/53131773.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31773-defense-vesperale,Oui
"Métal rouillé",https://static.ankama.com/wakfu/portal/game/item/42/53131778.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31778-metal-rouille,Oui
"Gemme de Carminite",https://static.ankama.com/wakfu/portal/game/item/42/53131784.w40h40.png,https://www.wakfu.com/fr/mmorpg/encyclopedie/ressources/31784-gemme-carminite,Oui
